[96]{'policy_loss': -31.053, 'ent_loss': -0.132, 'mem_len': 56290}
[97]{'policy_loss': -31.29, 'ent_loss': -0.134, 'mem_len': 56448}
[98]{'policy_loss': -30.853, 'ent_loss': -0.369, 'mem_len': 56449}
[99]{'policy_loss': -29.036, 'ent_loss': -0.124, 'mem_len': 56705}
[100]{'policy_loss': -31.834, 'ent_loss': -0.191, 'mem_len': 56855}
[101]{'policy_loss': -32.15, 'ent_loss': -0.388, 'mem_len': 57077}
[102]{'policy_loss': -30.537, 'ent_loss': -0.14, 'mem_len': 57465}
[103]{'policy_loss': -31.867, 'ent_loss': -0.325, 'mem_len': 57840}
[104]{'policy_loss': -31.577, 'ent_loss': -0.269, 'mem_len': 57962}
[105]{'policy_loss': -30.053, 'ent_loss': -0.425, 'mem_len': 58438}
[106]{'policy_loss': -30.281, 'ent_loss': -0.167, 'mem_len': 58553}
[107]{'policy_loss': -30.682, 'ent_loss': -0.239, 'mem_len': 58740}
[108]{'policy_loss': -30.164, 'ent_loss': -0.403, 'mem_len': 58865}
[109]{'policy_loss': -30.525, 'ent_loss': -0.281, 'mem_len': 59175}
[110]{'policy_loss': -31.302, 'ent_loss': -0.241, 'mem_len': 59443}
[111]{'policy_loss': -31.566, 'ent_loss': -0.392, 'mem_len': 59743}
[112]{'policy_loss': -31.655, 'ent_loss': -0.21, 'mem_len': 60027}
[113]{'policy_loss': -29.746, 'ent_loss': -0.028, 'mem_len': 60341}
[114]{'policy_loss': -30.931, 'ent_loss': -0.33, 'mem_len': 60610}
[115]{'policy_loss': -31.002, 'ent_loss': -0.595, 'mem_len': 60860}
[116]{'policy_loss': -31.766, 'ent_loss': -0.285, 'mem_len': 61031}
[117]{'policy_loss': -30.512, 'ent_loss': 0.072, 'mem_len': 61032}
[118]{'policy_loss': -30.863, 'ent_loss': -0.303, 'mem_len': 61287}
[119]{'policy_loss': -28.67, 'ent_loss': -0.312, 'mem_len': 61412}
[120]{'policy_loss': -30.546, 'ent_loss': -0.25, 'mem_len': 61568}
[121]{'policy_loss': -30.657, 'ent_loss': -0.333, 'mem_len': 61907}
[122]{'policy_loss': -31.888, 'ent_loss': -0.136, 'mem_len': 62187}
[123]{'policy_loss': -30.901, 'ent_loss': 0.027, 'mem_len': 62389}
[124]{'policy_loss': -30.386, 'ent_loss': -0.33, 'mem_len': 62625}
[125]{'policy_loss': -30.923, 'ent_loss': -0.085, 'mem_len': 62922}
[126]{'policy_loss': -29.831, 'ent_loss': -0.407, 'mem_len': 63203}
[127]{'policy_loss': -32.639, 'ent_loss': -0.146, 'mem_len': 63351}
[128]{'policy_loss': -31.761, 'ent_loss': -0.095, 'mem_len': 63567}
[129]{'policy_loss': -30.128, 'ent_loss': -0.49, 'mem_len': 63780}
[130]{'policy_loss': -31.309, 'ent_loss': -0.461, 'mem_len': 64203}
[131]{'policy_loss': -31.01, 'ent_loss': -0.358, 'mem_len': 64343}
[132]{'policy_loss': -30.583, 'ent_loss': -0.278, 'mem_len': 64641}
[133]{'policy_loss': -31.178, 'ent_loss': -0.024, 'mem_len': 64801}
[134]{'policy_loss': -31.921, 'ent_loss': -0.167, 'mem_len': 65084}
[135]{'policy_loss': -31.019, 'ent_loss': -0.103, 'mem_len': 65269}
[136]{'policy_loss': -33.097, 'ent_loss': -0.823, 'mem_len': 65565}
[137]{'policy_loss': -32.199, 'ent_loss': -0.363, 'mem_len': 65701}
[138]{'policy_loss': -31.462, 'ent_loss': -0.115, 'mem_len': 65850}
[139]{'policy_loss': -30.657, 'ent_loss': 0.127, 'mem_len': 66033}
[140]{'policy_loss': -32.758, 'ent_loss': 0.113, 'mem_len': 66258}
[141]{'policy_loss': -31.593, 'ent_loss': -0.248, 'mem_len': 66572}
[142]{'policy_loss': -30.452, 'ent_loss': -0.421, 'mem_len': 66766}
[143]{'policy_loss': -31.336, 'ent_loss': -0.115, 'mem_len': 66904}
[144]{'policy_loss': -30.715, 'ent_loss': 0.055, 'mem_len': 67064}
[145]{'policy_loss': -31.252, 'ent_loss': -0.221, 'mem_len': 67296}
[146]{'policy_loss': -32.005, 'ent_loss': -0.34, 'mem_len': 67485}
[147]{'policy_loss': -33.058, 'ent_loss': -0.148, 'mem_len': 67633}
[148]{'policy_loss': -31.93, 'ent_loss': 0.131, 'mem_len': 67948}
[149]{'policy_loss': -30.809, 'ent_loss': -0.168, 'mem_len': 68093}
[150]{'policy_loss': -34.218, 'ent_loss': -0.117, 'mem_len': 68307}
[151]{'policy_loss': -32.308, 'ent_loss': -0.101, 'mem_len': 68501}
[152]{'policy_loss': -31.949, 'ent_loss': -0.097, 'mem_len': 68660}
